,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
k_p,0,12,19,17,0,18,15,36,37,64,30,0,16,131,29,7
net,49,1,0,0,25,5,0,0,0,153,0,3,0,0,0,26
iin,21,15,1095,0,0,25,96,81,48,0,59,0,39,70,79,0
ype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
f_k,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
zem,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2
ick,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
wea,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
cwa,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okk,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
atp,42,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3
c_t,52,0,0,0,1,0,0,2,0,3,0,2,0,0,0,0
zel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
o_k,335,849,883,4,10,1050,1053,2052,1181,44,1106,0,356,0,759,2373
jot,0,2,2,6,3,0,0,0,1,1,2,2,2,0,1,0
igl,1,20,5,61,0,3,3,1,10,21,3,10,20,0,18,0
yuk,2,0,9,4,0,0,0,0,0,0,0,0,1,11,17,0
dai,0,717,9,0,7,0,27,6,35,16,17,1,6,18,6,12
abo,7,724,455,26,96,23,473,474,332,12,364,19,27,0,517,335
nde,6,10,0,888,182,7,6,1,1,21,3,260,0,0,0,5
l_k,109,62,67,2,14,63,65,150,62,76,69,0,30,208,30,3
ink,10,0,0,0,67,128,84,158,25,0,0,0,0,0,127,0
ped,1,83,81,138,28,84,77,83,73,83,79,108,62,0,79,0
ast,16,17,7,256,299,280,8,101,165,19,114,177,28,10,22,5
owl,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
r_o,0,5,1,17,167,0,0,126,1,2,1,30,4,0,1,0
tol,1260,152,28,18,34,18,39,16,15,923,21,17,50,0,16,7
rc_,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
xpe,0,0,0,2,5,0,0,0,0,0,0,3,0,0,0,0
obi,0,0,21,9,0,17,3,8,7,0,11,0,0,0,0,0
keo,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
xac,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
aug,1,5,80,1,60,1,99,100,22,10,64,1,12,43,6,0
ouc,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
lgo,0,2,4,2,2,2,2,2,2,2,2,24,2,0,2,0
akz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
_oo,0,26,15,0,0,0,0,0,12,0,0,0,13,0,15,25
api,63,142,251,17,2,73,182,196,120,68,274,4,262,130,188,152
bet,55,24,36,44,61,40,35,37,37,46,42,26,32,0,36,0
o_w,23,0,47,0,129,28,102,127,90,1,131,0,14,0,29,67
ray,231,85,16,0,93,188,10,70,72,59,4,5,7,316,513,199
oji,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,42
el_,233,137,96,7065,113,188,97,93,91,95,105,2004,91,0,93,0
iok,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
yha,0,0,3,0,0,0,9,32,0,0,0,0,0,0,2,56
t_m,421,140,90,25,196,159,112,65,110,89,82,24,446,119,62,14
mil,20,39,124,139,6,54,31,32,27,21,54,78,37,19,75,16
nur,98,16,2,0,0,57,0,16,32,18,4,0,19,0,10,0
led,4,0,0,2,285,2,0,0,0,0,0,0,0,0,0,2
nom,0,129,58,95,0,80,66,1,65,67,64,50,26,0,70,62
enn,379,2,0,0,6,325,0,0,0,3,0,0,0,0,0,174
har,2,218,190,4,127,0,204,239,90,204,222,74,243,272,55,13
bih,0,422,28,0,0,0,7,13,312,0,12,0,129,121,10,0
dyo,0,0,0,0,0,35,4,1,1,0,0,0,2,0,368,0
d_j,0,0,1,1,209,2,0,0,0,0,0,12,0,14,0,32
cdu,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axa,0,2,0,2,1,1,2,2,1,1,1,2,1,0,1,0
ybo,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
nga,10838,1303,3749,59,0,2539,5082,5968,862,1163,5366,58,752,3783,8395,2295
kzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
e_o,7,2,0,339,614,0,0,1,1,0,0,416,3,0,0,18
orn,0,2,0,1,52,6,0,0,0,1,0,12,0,0,2,0
cba,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awt,0,4,6,0,0,8,34,93,3,14,53,0,24,11,6,0
onl,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
_jy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202
lco,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
_to,1764,176,9,485,1499,17,13,221,7,695,8,642,12,0,6,1834
d_f,0,0,0,0,289,0,0,0,0,0,0,6,0,0,0,0
d_l,16,5,5,1,148,5,17,40,25,61,75,54,5,19,22,0
eoc,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
rdi,25,0,14,26,15,16,7,2,0,1,8,50,0,1,0,0
utn,0,0,0,0,0,7,0,0,0,0,0,0,0,0,17,0
cu_,0,0,0,2,0,0,0,0,0,0,0,60,0,0,0,0
iwe,1,0,0,0,0,13,0,0,0,1,0,0,0,0,0,13
gia,0,5,68,0,0,17,0,3,0,0,0,0,0,4,57,0
udm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
aek,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
emp,0,57,75,356,70,133,80,84,59,76,153,130,52,0,78,0
pri,0,2,4,139,122,1,4,31,38,0,28,133,0,0,19,0
osc,0,0,0,18,0,0,0,0,0,0,0,14,0,0,0,0
osy,0,5,1,0,4,3,1,3,5,5,7,0,0,0,0,18
bbi,101,0,0,0,8,26,0,0,0,308,0,0,0,2,0,0
arw,3,0,0,0,0,14,0,162,0,0,0,0,0,0,0,291
yab,30,4,2,0,0,68,10,6,2,16,18,0,12,109,0,164
nfe,0,0,0,69,6,0,0,0,0,0,0,42,0,0,0,0
_oy,0,5,0,2,0,0,3,0,0,0,1,58,0,0,3,122
lch,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
bo_,13,253,186,3,0,17,147,192,67,10,23,45,54,0,169,345
icb,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awh,0,0,118,0,0,0,22,45,4,0,13,0,0,1,22,0
mn_,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
raf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
orv,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uol,0,0,145,0,0,0,0,0,0,0,0,0,0,0,2,0
iwy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ibe,15,1,4,1,63,13,1,1,2,22,1,33,1,0,4,5
ely,0,10,6,0,30,0,9,6,7,23,6,0,14,0,6,9
bit,30,49,50,2,4,16,17,25,71,22,30,12,12,35,69,0
kue,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
_ia,0,10,3,1,0,0,0,6,8,0,3,0,1,0,0,2
erk,10,2,10,0,0,10,0,0,8,0,5,0,0,0,2,0
loi,0,2,14,2,5,2,9,11,4,2,2,2,2,0,2,1
cud,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0
wko,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
oka,7,22,21,0,0,31,5,7,0,1,0,0,0,0,22,99
eza,0,0,0,136,0,0,0,0,0,0,0,63,0,0,0,29
g_n,1154,969,1089,31,14,263,1523,1560,719,427,1747,39,1077,1373,542,892
mae,41,54,0,135,0,123,4,51,45,0,50,49,0,0,0,0
aac,12,8,8,9,8,7,9,9,7,8,8,9,8,0,7,0
_ik,233,142,140,0,0,87,122,368,148,50,119,0,156,145,101,585
psy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rk_,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
cau,0,0,0,124,94,0,0,0,0,0,0,71,0,0,0,0
wal,6,65,578,0,31,6,634,55,36,129,57,0,397,216,49,172
dwa,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,98
lue,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0
za_,0,1,0,220,0,0,1,0,1,0,1,90,1,0,1,117
bin,223,206,175,0,9,207,145,145,92,268,64,0,322,161,335,0
uoh,0,0,6,0,0,0,4,3,0,0,0,0,0,0,4,0
ena,0,31,24,174,11,24,26,17,14,93,11,135,33,0,13,176
rfo,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
z_i,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
lho,0,0,16,0,0,0,20,11,0,0,0,0,0,0,0,0
abu,212,126,171,65,5,87,267,323,298,128,316,8,194,472,261,0
sed,13,0,0,0,161,2,0,0,0,0,0,12,0,0,0,31
adj,0,0,0,0,2,0,0,0,0,0,0,0,0,233,0,0
emb,0,1,0,93,22,1,0,0,0,7,10,82,0,0,0,0
ovo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,295
tuo,0,0,139,0,1,6,157,130,188,0,227,4,1,0,68,0
puu,3,0,0,1,0,0,0,8,1,0,0,0,0,13,0,0
hy_,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0
gut,16,25,190,7,0,2,40,59,48,27,247,0,37,50,48,0
cef,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
ibw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
giu,0,0,24,0,0,0,0,0,0,0,0,0,0,2,9,0
ipu,135,295,45,239,0,173,52,274,232,34,276,0,19,158,2,0
aky,0,2,5,0,0,8,6,2,29,0,15,0,11,0,4,0
ief,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
rel,0,0,0,23,21,1,0,3,0,0,8,14,0,0,0,0
nn_,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0
kki,1,0,0,0,0,21,0,0,0,0,0,0,0,73,0,0
cco,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
bas,319,92,54,50,23,304,116,105,129,76,203,67,197,42,217,0
epo,0,2,2,22,5,2,0,0,0,0,0,47,0,0,0,8
ruc,25,0,0,32,33,0,0,0,0,0,0,32,0,0,0,0
ypt,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
fal,0,0,0,38,44,0,0,0,0,0,0,31,0,0,0,0
ops,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3
sik,82,16,31,6,0,111,25,16,32,167,50,0,79,67,4,18
f_h,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0
okm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
i_j,0,1238,1000,942,1,1238,1000,1085,909,1341,167,9,485,76,929,106
tpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ng_,1357,4892,8621,440,1344,846,9938,9831,786,894,9537,16,14304,3574,1751,4073
kwi,0,0,1,0,0,0,0,0,3,3,6,0,0,0,1,0
ehz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ull,3,0,0,6,37,9,0,0,0,0,0,2,0,9,0,0
arv,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
gto,14,19,127,0,0,58,20,661,10,130,14,0,1,0,232,6
pab,77,56,43,1,0,52,83,76,74,72,106,7,27,63,65,2
xan,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
rbe,15,0,0,0,0,3,3,4,10,1,0,0,0,0,8,0
uyn,0,0,2,0,0,0,0,0,13,0,14,0,0,0,3,0
dre,8,7,7,155,99,8,7,7,7,7,7,231,7,0,7,0
hfu,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
uni,206,5,9,18,5,52,5,3,4,27,6,36,396,30,4,0
eld,3,4,0,3,74,6,2,2,6,7,9,3,0,0,0,0
pum,50,8,0,0,0,31,9,2,2,52,5,3,227,0,3,0
psa,40,0,2,0,2,19,13,12,0,0,9,1,0,0,0,1
pra,0,0,0,35,68,12,0,8,1,0,0,19,0,0,10,0
iud,0,4,4,93,4,32,32,5,3,4,4,96,4,2,2,0
muh,0,4,3,0,0,0,3,1,7,27,8,0,40,44,41,0
aza,0,25,26,32,24,24,25,26,24,26,29,44,24,0,23,690
sea,0,3,0,0,81,1,0,0,0,0,0,70,2,0,0,0
oho,0,80,10,0,0,0,4,22,8,0,0,2,0,0,13,0
kia,6,16,0,0,2,13,0,0,6,5,3,0,12,4,170,0
nle,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
nam,170,171,164,129,74,116,81,237,487,173,176,4,301,296,130,168
gai,18,7,5,2,173,19,32,36,70,20,52,2,8,139,5,158
hez,0,0,3,2,5,1,0,0,0,0,4,0,2,0,0,7
t_s,201,390,351,111,386,151,802,361,512,96,566,42,1492,247,52,104
rcy,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
zco,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
kir,10,0,6,5,0,7,5,5,3,0,6,0,4,10,7,0
h_a,4,6,1,3,379,0,0,0,2,1,13,1,17,2,0,23
d_m,490,109,97,5,210,29,115,125,273,114,219,23,33,184,47,31
els,0,0,6,0,40,0,0,0,0,0,0,0,0,0,6,0
obu,1,0,12,4,0,0,0,0,0,6,0,0,0,0,0,0
fox,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
us_,1988,1070,1060,1057,525,1170,1065,1194,926,1449,1203,354,452,672,1011,0
i_o,4,22,16,20,3,22,8,9,17,39,11,62,14,0,11,589
fis,0,0,0,0,23,11,0,0,0,0,0,0,0,0,0,0
mto,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
cee,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
k_j,0,0,4,1,3,2,0,0,0,2,0,0,0,0,0,17
tar,94,169,36,81,35,85,85,88,100,115,99,282,13,21,34,30
sek,0,3,0,0,0,38,3,5,0,10,0,0,0,0,0,7
sok,0,1,11,0,0,4,19,19,3,0,17,0,144,0,1,17
kin,1322,223,806,0,269,754,87,112,172,934,16,0,622,36,451,73
occ,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0
sow,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,7
y_j,0,0,0,24,11,54,235,231,0,5,41,93,77,1,0,94
ma_,927,289,222,377,2,278,127,209,289,335,73,155,359,545,117,1249
lne,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
hil,0,358,81,1,165,0,46,59,99,26,3,2,109,281,44,0
bba,37,40,0,0,52,55,0,0,1,46,1,1,40,17,0,0
gon,0,292,912,5,18,90,203,50,89,2,156,8,79,0,187,172
tfa,0,3,0,3,0,3,3,3,3,3,3,3,3,0,3,0
odo,1,29,5,489,5,6,6,11,7,5,5,317,5,0,5,8
awo,0,681,830,0,4,0,955,968,598,0,934,0,0,0,874,0
ryw,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
_fa,0,77,0,89,323,91,75,77,5,5,1,126,70,0,2,0
s_w,11,0,11,0,419,9,25,16,9,0,44,0,5,17,27,0
nje,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aj_,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0
oku,0,0,11,0,0,0,2,0,0,149,0,0,0,0,0,0
_at,50,103,193,169,147,36,147,109,120,380,125,61,3187,238,144,35
ric,6,6,5,70,46,5,5,5,5,5,5,55,6,0,5,106
zid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
eam,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0
kap,230,257,194,0,0,170,140,194,294,336,113,0,406,287,193,808
amm,131,0,0,0,7,288,0,0,0,9,0,0,0,19,0,1
gek,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
tug,129,124,103,0,0,124,88,222,82,20,102,0,7,49,92,0
kok,0,3,0,0,0,0,0,0,0,144,0,0,2,0,0,28
sbe,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ngh,61,73,188,0,1,54,113,128,168,66,418,0,160,237,67,42
ixe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lua,0,0,0,0,0,3,60,0,4,0,18,0,3,7,5,0
kho,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
pa_,50,259,299,561,0,32,458,565,542,286,447,55,287,2318,337,569
oh_,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
bre,0,4,0,256,86,0,0,1,31,0,26,596,0,0,9,0
r_p,14,8,2,102,48,3,13,18,21,6,77,152,2,3,3,0
pli,9,0,20,69,15,14,0,0,1,4,11,41,1,1,0,7
dec,13,3,3,103,18,3,3,3,3,3,3,235,3,0,3,0
ngo,0,317,1250,3,0,148,542,45,207,4,206,21,119,0,422,498
jo_,0,0,0,238,0,0,0,0,0,0,0,834,0,0,0,0
ind,17,2243,63,46,150,43,713,719,1661,20,3272,12,696,322,153,13
t_w,21,1,4,0,518,21,15,3,0,0,7,0,57,1,9,0
kai,192,438,37,0,0,113,32,65,82,103,198,0,226,382,13,70
nnu,110,0,0,0,0,56,0,0,0,2,0,0,0,0,0,0
arz,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
urc,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
to_,3527,291,1123,991,2638,976,754,1315,1304,89,1255,781,1056,0,1336,1787
tib,1,23,83,3,1,1,12,3,4,5,7,2,4,13,8,0
erd,0,1,0,118,17,4,0,5,0,0,5,265,0,0,0,0
egk,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
vin,0,0,0,88,109,0,0,0,0,0,0,110,0,0,0,7
m_d,137,26,13,4,35,143,1,7,9,103,32,23,2,110,15,259
m_i,220,9,3,0,149,203,10,9,5,15,14,31,9,101,10,400
laa,31,15,38,0,0,36,81,50,7,21,22,0,42,58,6,0
lem,96,62,57,71,56,84,62,62,62,68,74,6,56,0,60,0
gri,40,13,2,81,12,18,0,0,3,5,1,41,1,3,1,1
iay,0,0,74,0,0,335,1,0,0,0,0,0,2,0,69,0
ey_,1857,0,0,150,983,0,0,0,0,0,0,66,0,0,0,523
kiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
aps,56,0,1,0,0,19,14,10,0,3,9,0,0,12,0,4
g_y,82,5,49,52,23,1,35,25,5,0,48,4,10,16,8,3
rts,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
dus,45,33,10,0,6,30,0,0,1,53,0,0,9,147,11,0
yey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
p_y,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1
iwd,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
yvw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ebe,1,22,11,56,12,13,20,16,15,11,21,63,12,0,13,28
n_u,126,56,904,675,79,72,87,84,179,169,26,109,73,286,377,0
sat,126,62,26,48,64,140,46,21,18,21,25,39,17,30,19,136
agb,297,260,268,0,0,363,258,281,250,212,250,0,179,546,364,0
png,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0
omy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15
sab,143,759,360,345,50,149,279,291,890,72,311,130,608,974,109,4
la_,91,202,2190,3842,0,170,3128,430,227,617,109,1535,1952,2853,492,223
par,320,432,204,1433,163,183,243,679,800,366,1031,655,236,283,343,45
ga_,8822,2569,4976,3413,0,1854,7501,8339,2915,360,6872,134,2635,3149,7155,51
wos,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sul,226,21,629,30,1,19,378,309,208,125,119,7,56,241,127,0
ypy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ani,568,365,1415,574,14,492,413,781,656,399,103,21,918,1186,231,1703
iuu,8,0,0,0,0,1,0,0,2,0,0,0,1,0,11,0
gfu,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
wpa,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,46
oww,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
k_k,0,69,91,0,0,308,70,202,73,206,90,0,40,421,59,32
tde,16,0,0,0,0,4,0,0,0,41,0,0,0,0,0,3
ccn,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
coa,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
_eg,20,4,0,4,5,11,0,0,0,8,4,3,0,0,0,0
ei_,0,1,0,0,0,1,0,2,1,1,0,2,0,0,1,1
_pt,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
jat,0,0,0,1,0,0,0,0,0,0,0,1,0,35,0,0
aby,2,0,0,0,5,0,28,4,3,0,29,0,0,0,6,15
tso,0,4,0,0,30,0,3,6,7,0,12,0,0,0,0,0
wgd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
s_m,206,206,294,351,198,78,171,123,241,163,154,423,98,96,96,30
un_,1230,417,261,686,15,39,11,2516,538,161,214,392,16,2626,260,0
riv,0,0,0,1,15,0,0,0,0,0,0,5,0,0,0,0
_er,0,13,2,45,5,1,2,2,2,2,1,146,1,0,2,0
yni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
bng,5,28,35,0,0,1,41,39,29,0,0,0,0,0,39,0
unj,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0
smu,24,0,0,4,5,0,0,0,0,5,6,0,17,0,0,0
iad,1,0,231,7,0,1,0,0,0,0,0,54,0,0,0,0
ell,127,0,0,147,170,17,0,0,0,0,0,501,0,0,0,0
yuy,0,0,0,0,0,2,0,0,0,0,0,0,1,5,1,0
gpl,0,1,3,0,0,0,5,4,3,2,8,0,0,0,0,0
syo,0,72,5,0,0,11,38,53,54,31,136,0,15,0,12,84
mro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vi_,0,9,9,50,5,9,10,10,7,8,10,94,6,0,9,30
epm,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
rag,162,46,6,8,2,118,2,62,52,61,0,3,3,9,130,1
eth,0,0,0,2,597,0,0,0,0,13,0,0,21,0,0,0
mib,5,60,95,0,0,0,0,0,0,8,0,0,6,2,0,1
bke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
abn,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,37
nil,77,26,637,535,0,41,340,19,14,41,6,1,1274,1480,11,15
ece,0,0,0,336,120,0,0,0,0,0,0,162,0,0,0,0
sph,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
kpo,0,5,9,0,0,1,8,2,2,0,17,0,0,0,6,0
etr,0,3,3,10,28,3,3,4,3,3,3,20,6,0,3,0
yaa,3,44,22,0,0,85,37,70,53,39,44,0,39,168,29,0
yzo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
rfa,0,2,2,2,0,1,2,2,1,1,1,2,1,0,1,0
nda,62,1540,101,760,13,493,213,2096,1728,311,1929,130,247,210,203,15
anm,28,0,0,0,0,51,0,0,6,1,0,0,25,0,14,86
yly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
bis,44,12,254,0,0,24,266,292,154,30,46,8,17,18,209,0
igo,0,34,74,456,0,31,40,49,62,19,85,244,23,0,82,1
uo_,0,0,98,0,0,0,103,58,18,0,107,1,0,0,27,0
jun,0,0,0,169,0,0,0,0,0,0,0,50,0,41,0,0
sym,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cij,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
auh,0,0,0,0,0,0,1,2,1,0,2,0,13,0,0,0
g_h,17,179,242,11,107,2,135,174,45,138,230,0,385,659,1120,1
hyl,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bti,0,0,5,0,0,0,3,4,1,0,0,0,0,2,1,0
lyu,9,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0
hio,0,0,9,0,3,1,0,0,0,0,0,0,0,0,2,0
uro,0,11,35,25,0,258,38,245,106,63,49,13,104,0,175,0
lad,51,51,29,18,11,47,51,64,32,31,33,105,100,8,36,1
n_h,0,390,63,104,470,1,46,108,226,525,234,163,98,2742,2081,0
oob,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0
omb,0,16,26,201,39,0,0,1,0,1,0,376,0,0,20,5
imd,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
_ly,42,2,0,0,6,0,0,0,2,0,84,0,0,0,0,0
mop,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
oz_,0,0,0,19,0,1,2,0,4,4,0,31,0,0,0,30
eyv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294
r_f,0,0,0,11,148,0,0,0,0,0,0,21,0,0,0,0
ib_,72,24,5,0,0,30,9,15,0,47,1,3,9,21,2,25
omi,0,5,22,43,41,5,1,2,0,24,7,48,1,0,14,77
sue,0,1,1,36,4,4,2,2,1,1,2,27,1,0,1,0
taq,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
awr,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
r_d,77,7,3,330,51,36,7,2,17,18,26,269,1,2,3,0
ny_,0,0,0,0,198,0,0,0,0,2,1,0,0,0,0,0
awg,0,1,13,0,0,0,13,21,0,0,0,0,0,15,17,0
der,1,15,0,191,166,78,5,0,36,1,16,170,8,0,0,0
yud,53,27,55,133,0,0,0,49,52,320,27,4,0,28,45,0
aov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
sma,39,1,2,4,2,4,4,2,6,0,0,35,0,1,2,0
eop,0,0,1,0,61,0,1,1,1,1,1,0,1,0,1,0
_ui,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
arg,6,9,2,86,22,9,11,1,2,8,2,50,0,22,0,0
meu,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
wd_,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0
ipy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
icw,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k_v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sor,7,100,21,1,25,53,3,3,0,25,0,39,0,0,3,1
es_,89,132,108,2775,902,263,137,155,177,176,144,2786,75,0,102,258
btf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gii,13,0,131,0,0,4,0,2,0,0,0,0,2,8,4,0
oyu,3,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0
iem,0,0,0,264,0,54,1,3,0,0,0,71,0,0,0,0
efl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
niv,0,0,0,0,0,0,3,4,1,3,0,3,3,0,0,60
of_,0,0,0,0,1753,0,0,0,0,0,0,0,0,0,0,0
nad,917,142,42,139,3,264,90,94,51,366,89,203,35,5,30,42
w_u,3,1,84,0,5,2,7,13,0,0,0,0,5,18,3,0
_i_,2,0,38,0,525,0,46,17,44,471,63,12,0,0,47,0
ymi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
obe,0,28,19,69,15,15,23,18,17,3,22,33,17,0,17,1
mak,376,297,485,0,73,558,575,530,556,604,541,0,499,606,537,849
yra,0,0,20,0,0,0,0,0,0,0,14,0,0,5,0,272
hty,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
iji,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,2
kwe,0,10,0,0,0,0,4,0,9,0,1,0,0,0,0,1
